date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:22:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:21:56%20GMT	https://www.zanroo.com/products/industry-competition/	/home/boss/websites/Thailanda/www.zanroo.com/products/industry-competition/index.html	(from https://www.zanroo.com/)
01:22:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:21:56%20GMT	https://www.zanroo.com/products/campaign-optimization/	/home/boss/websites/Thailanda/www.zanroo.com/products/campaign-optimization/index.html	(from https://www.zanroo.com/)
01:22:38	40509/40509	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:21:53%20GMT	https://www.zanroo.com/request-demo/	/home/boss/websites/Thailanda/www.zanroo.com/request-demo/index.html	(from https://www.zanroo.com/)
01:22:38	13622/13622	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2023:22:38%20GMT	https://demo.zanroo.com/wp-content/uploads/2009/03/icon_industry-inzight.png	/home/boss/websites/Thailanda/demo.zanroo.com/wp-content/uploads/2009/03/icon_industry-inzight.1cf.delayed	(from https://www.zanroo.com/)
01:23:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:22:41%20GMT	https://www.zanroo.com/products/influencer-analytics/	/home/boss/websites/Thailanda/www.zanroo.com/products/influencer-analytics/index.html	(from https://www.zanroo.com/)
01:23:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:22:42%20GMT	https://www.zanroo.com/products/crisis-management/	/home/boss/websites/Thailanda/www.zanroo.com/products/crisis-management/index.html	(from https://www.zanroo.com/)
01:23:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2023:22:42%20GMT	https://www.zanroo.com/products/online-call-center/	/home/boss/websites/Thailanda/www.zanroo.com/products/online-call-center/index.html	(from https://www.zanroo.com/)
01:23:24	45491/45491	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:22:44%20GMT	https://www.zanroo.com/category/inzight/	/home/boss/websites/Thailanda/www.zanroo.com/category/inzight/index.html	(from https://www.zanroo.com/)
01:23:25	13622/13622	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Jan%202018%2023:23:24%20GMT	https://demo.zanroo.com/wp-content/uploads/2009/03/icon_case_inzight.png	/home/boss/websites/Thailanda/demo.zanroo.com/wp-content/uploads/2009/03/icon_case_inzight.1d0.delayed	(from https://www.zanroo.com/)
01:23:27	43131/43131	---M--	200	added ('OK')	image/png	etag:%2258efa37e-a87b%22	https://www.zanroo.com/wp-content/uploads/2017/03/header_slide2-2.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2017/03/header_slide2-2.png	(from https://www.zanroo.com/)
01:23:29	224614/224614	---M--	200	added ('OK')	image/png	etag:%2259037a4c-36d66%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide2-3.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide2-3.png	(from https://www.zanroo.com/)
01:23:29	46408/46408	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:23:27%20GMT	https://www.zanroo.com/category/inzight/inzight-libraries/	/home/boss/websites/Thailanda/www.zanroo.com/category/inzight/inzight-libraries/index.html	(from https://www.zanroo.com/)
01:23:31	289670/289670	---M--	200	added ('OK')	image/png	etag:%2259195cca-46b86%22	https://www.zanroo.com/wp-content/uploads/2009/03/header_slide2-4-1.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/header_slide2-4-1.png	(from https://www.zanroo.com/)
01:23:31	46104/46104	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:23:29%20GMT	https://www.zanroo.com/category/inzight/industry-inzight/	/home/boss/websites/Thailanda/www.zanroo.com/category/inzight/industry-inzight/index.html	(from https://www.zanroo.com/)
01:23:31	832/832	---M--	200	added ('OK')	image/png	etag:%22590370e3-340%22	https://www.zanroo.com/wp-content/uploads/2009/03/zanroo_logo_footer.png	/home/boss/websites/Thailanda/www.zanroo.com/wp-content/uploads/2009/03/zanroo_logo_footer.png	(from https://www.zanroo.com/)
